,score,summary
117,1,компания избежит делистинга и сохранит программу глобальных депозитарных расписок на лондонской бирже. она подавала соответствующую заявку 5 мая
118,0,"«новатэк» не может заказывать коммерческую съемку за рубежом из-за санкций, а большинство ведущих поставщиков — иностранные предприятия. россии необходимы свои спутники, так как снимков из открытых источников мало, сказал замглавы"
119,1,"новатэк «будет защищать свои интересы в рамках действующего законодательства», сообщили в компании. ранее польша обязала ее передать свою газовую инфраструктуру государству"
120,1,"московская биржа с 29 июля 2022 года переведет акции ""селигдара"" из раздела ""второй уровень"" в раздел ""первый уровень"" списка ценных бумаг, допущенных к торгам, сообщила торговая площадка. решение принято в связи с получением соответствующего заявления.
торги бумагами компании на мосбирже начались в 2011 году.
в первый уровень листинга включаются акции компаний, которые соответствуют правилам листинга московской биржи, в том числе требованиям к раскрытию информации, корпоративному управлению, размеру рыночной капитализации и количеству акций, находящихся в свободном обращении."
121,1,"у иностранных самолетов новатэка пока нет проблем с запчастями, заявил его предправления леонид михельсон. ранее в правительстве не исключили разборку части воздушных судов на запчасти из-за западных санкций"
122,1,"миллер и михельсон договорились о сотрудничестве в арктике во вопросам экологии, но не совместной добычи газа. газопроизводство «все что-то никак», уточнил глава новатэка"
123,1,"rustore будет единственно законодательно урегулированным приложением, но другие маркетплейсы власти запрещать не планируют. все инвестиции на разработку российского магазина приложения осуществляет vk"
124,1,"капитал газпромбанка будет пополнен на 50 млрд руб. за счет фонда национального благосостояния, сообщил антон силуанов. средства фонда также направят на докапитализацию ржд, «дом.рф» и «аэрофлота»"
125,1,"минфин предлагает внести поправки в статью 343 налогового кодекса о порядке исчисления и уплаты налога, согласно которой сумма ндпи для «газпрома» вырастет на 416 млрд руб."
126,1,в «газпроме» указали на риск «валютной конкуренции» между поставками спг и трубопроводного газа: для продажи последнего «недружественным странам» уже несколько месяцев действует механизм оплаты в рублях
127,1,"гохран может вернуться к закупке алмазов у алроса, попавшей под западные санкции. последнюю крупную закупку он проводил в 2012 году"
128,1,"ту-214 – магистральный узкофюзеляжный самолет, разработанный в конце 1980-х. объединенная авиастроительная корпорация ранее анонсировала производство 70 таких лайнеров до 2030 года"
129,1,"в него вошли, в частности, электроника, в том числе игровые приставки, мебель, оружие и боеприпасы, техника apple и samsung, часы, автомобили, суда, отопительное оборудование, оружие и ядерные реакторы"
130,0,"в российском минобороны считают, что американские производители вакцин от коронавируса причастны к «военно-биологической деятельности сша на украине». ранее в минобороны заявляли о существовании на украине сети биолабораторий"
131,1,соцсеть покупает американский бизнесмен илон маск. он обещал сделать twitter платформой с соблюдением свободы слова и внедрить механизмы защиты от спам-ботов с целью поддержки демократии
132,0,"миллиардер ожидает рецессию «в ближайшем будущем». по мнению экономиста рубини, предсказавшего глобальный кризис 2008 года, она наступит к концу года. вероятным спад экономики в ближайшие два года считают и в goldman sachs"
133,0,сделка по покупке соцсети twitter бизнесменом илоном маском приостановлена.
134,0,"команда американского бизнесмена, основателя tesla и spacex илона маска проведет проверку 100 случайных аккаунтов в twitter на подлинность."
135,1,"twitter заблокировал трампа и его соратников в январе 2021 года на фоне призывов к мирным протестам и штурма капитолия. экс-президент говорил, что лишился свободы слова. маск назвал это решение ошибкой"
136,1,"бизнесмен илон маск, который недавно приобрел 9,2% акций twitter и вошел в совет директоров компании, предложил сделать подтвержденными учетные записи обладателей платной подписки twitter blut."
137,1,"американский бизнесмен илон маск предложил выкупить все акции twitter, следует из документа, опубликованного на сайте комиссии по ценным бумагам и биржам сша."
138,1,"американский бизнесмен илон маск предложил выкупить все акции twitter, следует из документа, опубликованного на сайте комиссии по ценным бумагам и биржам сша."
139,0,маск подал встречный иск к twitter
140,0,"глава tesla и spacex илон маск отказался от сделки о покупке twitter из-за того, что социальная сеть не предоставила информацию о поддельных аккаунтах и спам-ботах, сообщает агентство reuters со ссылкой на заявление адвокатов миллиардера."
141,0,бизнесмен твитнул название песни love me tender после принятия советом директоров twitter мер по защите прав акционеров из-за предложения маска купить компанию. тендерное предложение предполагает приобретение напрямую у акционеров
142,0,"миллиардер считает, что it-гигант препятствует его ознакомлению с информацией о существовавших в соцсети фальшивых учетных записях. ранее он приостановил сделку по покупке twitter до получения всех данных о фейковых страницах"
143,1,"при этом соцсеть навсегда останется платной для обычных пользователей, заявил бизнесмен"
144,1,"американский предприниматель, основатель компании tesla договорился о приобретении социальной сети twitter за $44 млрд, передает reuters."
145,1,"вчера генеральный директор twitter джек дорси отказался подтвердить, что число фейковых аккаунтов в соцсети не превышает 5%. пока он не сделает этого, сделка не будет закрыта, сказал маск. по его данным, их число достигает 20%"
146,1,"илон маск предупредил сотрудников twitter, что компании необходимо «оздоровиться» и пройти «рационализацию численности персонала», выступая на запланированном собрании сотрудников по видеосвязи, сообщает financial times со ссылкой на источник, знакомый с ситуацией."
147,1,"при этом соцсеть навсегда останется бесплатной для обычных пользователей, заявил бизнесмен"
148,0,"twitter может стать платным для коммерческих и государственных пользователей, сообщил американский предприниматель илон маск, который близок к завершению сделки по приобретению соцсети."
149,1,"второй матч восточного полуфинала play-off кхл между «металлургом» и «трактором» завершился в пользу челябинского клуба — 6:4. как и в западном противостоянии ска и цска, счет в этой серии стал равным — 1:1."
151,1,"запаса продукции техники от брендов, ограничивших свои поставки в россию, хватит на 2–3 месяца. для решения проблемы производители пытаются выстроить новые логистические цепочки, а власти планируют разрешить параллельный импорт"
152,1,"как стало известно “ъ”, мтс обсуждает покупку крупнейшего по выручке в рф онлайн-кинотеатра ivi. эксперты оценивают его на уровне $1–1,2 млрд. акционерам ivi сделка может позволить вернуть инвестиции в ситуации, когда не удалось провести запланированное ipo, а мтс — стать активным участником рынка онлайн-кинотеатров. собственный проект оператора kion за год работы, по данным аналитиков, так и не занял заметной доли."
153,1,"мтс объявляет о новых назначениях в топ-менеджменте. на новую позицию члена правления, вице-президента по цифровым продуктам с 5 сентября назначается марина настасенко, переходящая в мтс с должности гендиректора компании ""салют для бизнеса"" из экосистемы ""сбербанка"".
также на новую должность директора по кибербезопасности в июле назначена евгения наумова, бывший исполнительный вице-президент по корпоративному бизнесу ""лаборатории касперского"".
и вице-президентом по взаимодействию с органами госвласти с 1 августа назначается андрей рего, ранее возглавлявший в мтс департамент регуляторной политики и взаимодействия с федеральными органами власти. прежний вице-президент по взаимодействию с органами госвласти, член правления мтс руслан ибрагимов покидает компанию в связи с истечением трудового договора.

"
154,1,мтс почти на 30% увеличила капитальные затраты в первом квартале из-за ускорения закупок телекоммуникационного оборудования
155,1,мтс почти на 30% увеличила капитальные затраты в первом квартале из-за ускорения закупок телекоммуникационного оборудования
156,1,"клиенты мтс смогут получить услуги в салонах оператора без предъявления паспорта, если сдадут биометрию в систему компании. оператор рассчитывает, что так сможет удаленно обслуживать клиентов из любой точки мира. но конкуренты пока не разделяют оптимизм: в «мегафоне», например, считают услугу не слишком востребованной, а издержки — слишком высокими. в перспективе, чтобы развивать коммерческие биометрические системы, потребуется аккредитация минцифры, поэтому интерес к технологии дополнительно снизится, считают эксперты."
157,1,"мтс приобрела контроль в компании «гольфстрим охранные системы», специализирующейся на предоставлении услуг безопасности и «умного дома», говорится в сообщении пресс-службы мтс, поступившем в рбк."
158,1,"nvidia перестала продлевать и продавать российским компаниям лицензии на свой софт. «коммерсантъ» написал, что этот шаг может осложнить работу суперкомпьютеров ряда российских компаний"
159,1,"компания мтс начала продавать уцененные и бывшие в употреблении смартфоны, в интернет-магазине появилась соответствующая категория товаров."
160,0,"россия вводит санкции против еще 61 американских граждан, в их числе главы и руководство минфина, минэнергетики, netflix, moodie's, nasdaq и fitch group. всего ограничительные меры москва ввела против 963 граждан сша"
161,0,"россия вводит санкции против еще 61 американских граждан, в их числе главы и руководство минфина, минэнергетики, netflix, moodie's, nasdaq и fitch group. всего ограничительные меры москва ввела против 963 граждан сша"
162,1,"власти готовы продлить инвесторам проектов в рамках специнвестконтрактов первого поколения (спик 1.0) доступ к налоговым преференциям до окончания их реализации — по действующим условиям пониженные ставки действуют лишь до конца 2025 года. отчасти это связано с возможностью пролонгации самих контрактов из-за санкций и проблем с реализацией инвестпроектов. тем не менее полных данных о главном механизме импортозамещения минпромторга и, соответственно, числе попадающих под поправки контрактов и объеме выпадающих доходов бюджетов в правительстве нет. эксперты и рынок поправки поддерживают, особенно с учетом антикризисного перезапуска спик 1.0, но предостерегают от избыточных надежд на инструмент: во многом он был рассчитан на инвесторов из теперь уже «недружественных» стран."
163,0,"перевод платежей за все экспортные товары в рубли может привести к непредсказуемым последствиям, считает миллиардер владимир лисин. идея продавать металл за рубли приведет к тому, что нлмк «выбросит» с международных рынков"
164,0,"после введения санкций против россии произошло резкое снижение объемов отгрузки мазута «и, как следствие, образование избытка данного топлива в хранилищах», сообщил глава лукойла вагит алекперов в письме вице-премьеру александру новавку от 25 марта, пишет «коммерсантъ»."
165,1,"teboil — нефтяная компания, основанная в финляндии в 1934 году, которой лукойл владеет с 2005 года. в россию она поставляет смазочные материалы. лукойл выкупил «дочку» shell и ее азс в конце мая"
166,1,"по данным “ъ”, лукойл может начать поставки топлива на заправки shell, которые он приобретает у британской компании, в конце мая — начале июня. 19 мая фас сообщила об одобрении сделки, однако пока заправки не работают: по словам собеседников “ъ”, деятельность азс возобновится только после перехода прав собственности к лукойлу. по мнению экспертов, в условиях снижения спроса на российские нефтепродукты на внешних рынках лукойл в результате сделки сможет увеличить реализацию своего топлива внутри рф."
167,0,"в компании поясняют, что из-за сокращения объемов отгрузки мазута после введения санкций образовался избыток топлива в хранилищах. лукойл предлагает перенаправить мазут в качестве топлива на тэц"
168,1,"и.о. главы лукойла назначен первый исполнительный вице-президент вадим воробьев, который работает в компании больше 20 лет. основатель и крупнейший совладелец лукойла вагит алекперов ушел в отставку на фоне санкций великобритании"
169,1,"российский лукойл договорился о покупке у британско-голландской shell дочерней компании в россии, которая владеет сетью азс и заводом смазочных материалов."
170,1,"лукойл закрыл сделку по покупке активов дочерней компании британско-голландской shell «шелл нефть», российской компании достались сеть азс и завод по производству смазочных материалов в тверской области."
171,0,"основатель и крупнейший акционер лукойла вагит алекперов, возглавлявший компанию почти 30 лет, покидает пост из-за введенных против него санкций великобритании. при этом лукойл стал одной из немногих крупных российских компаний, чей совет директоров открыто выступил против военных действий на украине. после ухода господина алекперова пост главы компании, вероятно, в качестве временно исполняющего обязанности займет первый вице-президент вадим воробьев."
172,0,"даже проработка вопроса о национализации дочерних предприятий «газпрома» или «роснефти» является неприемлемой, заявил журналистам пресс-секретарь президента россии дмитрий песков, передает корреспондент рбк."
173,0,американская кондитерская компания hershey предупредила о возможном дефиците шоколадной продукции из-за глобального кризиса цепочек поставок.
174,0,apple сообщила о рекордной квартальной выручке в размере $83 млрд
175,1,"цб прорабатывает возможность создания универсального платежного приложения для смартфона, к которому можно было бы привязать выпущенные российскими банками карты международных платежных систем. один из вариантов — доработка «сбпэй», который сейчас внедряется банками. однако есть риск, что в результате этот платежный сервис, который остается единственным в россии, действующим на смартфонах apple, тоже будет заблокирован."
176,0,"путин счел, что в обмене военнопленными с украиной должен быть задействован красный крест, рассказал канцлер австрии нехаммер. президент россии также пообещал исполнить обязательства по поставкам газа, добавил он"
177,0,"прокачка газа по «северному потоку» из россии в германию снизится на 40%, до 100 млн кубометров в сутки, из-за задержки с возвратом компанией siemens energy газоперекачивающих агрегатов (гпа) из ремонта. по данным “ъ”, один гпа сейчас находится в канаде, отказывающейся возвращать его в россию из-за санкций в отношении «газпрома». кроме того, оттава расценивает его как товар двойного назначения. на фоне этих новостей цены на газ в европе снова пошли вверх."
178,1,"канада до конца 2024 года освободила все оборудование «газпрома» от действия санкций, введенных против компании после начала военных действий на украине. по данным “ъ”, страна предоставила siemens energy временную лицензию для ремонта, обслуживания и транспортировки газоперекачивающего оборудования для «северного потока». первая готовая машина еще находится в канаде и будет отправлена в россию через германию 15 июля. еще два агрегата могут отправиться в канаду на ремонт в ближайшее время. однако сам «газпром» заявляет, что не уверен в том, что получит турбины и, соответственно, сможет полностью восстановить прокачку по «северному потоку»."
179,0,"прокачка газа по «северному потоку» из россии в германию снизится на 40%, до 100 млн кубометров в сутки, из-за задержки с возвратом компанией siemens energy газоперекачивающих агрегатов (гпа) из ремонта. по данным “ъ”, один гпа сейчас находится в канаде, отказывающейся возвращать его в россию из-за санкций в отношении «газпрома». кроме того, оттава расценивает его как товар двойного назначения. на фоне этих новостей цены на газ в европе снова пошли вверх."
180,1,"самый богатый человек мира илон маск намерен купить всю компанию twitter inc. российские инвесторы могут попробовать заработать на сделке, хотя иностранные эксперты сомневаются в серьезности намерений основателя tesla и spacex"
181,1,"крупнейший инфраструктурный проект россии — модернизация бама и транссиба — предложено передать в концессию. по данным “ъ”, с такой идеей к владимиру путину обратились газпромбанк и «бтс-мост» руслана байсарова. в рамках проекта предлагается построить несколько тоннелей и сооружений и достичь к 2035 году провозной способности в 260–280 млн тонн, что больше, чем оао ржд закладывало в варианты третьего этапа модернизации восточного полигона. концессионер готов вложить 1,5 трлн руб., общая стоимость проекта неизвестна. по мнению экспертов, столь масштабную концессию вряд ли одобрят, но частный капитал будет все активнее стремиться участвовать в расширении восточных коридоров."
182,1,"как выяснил “ъ”, правительство рассматривает инициативы «роснефти» по стабилизации цен на металл на внутреннем рынке. компания столкнулась с повышением цен со стороны российских поставщиков спецтехники, который те объясняют подорожанием металла. «роснефть» предлагает ввести норматив по обязательным поставкам металлопродукции на внутренний рынок и потолок роста цены в 4% в год, а также экспортные пошлины на металл и железную руду. источники “ъ” среди металлургов считают идеи «роснефти» трудноосуществимыми и ненужными в ситуации, когда внутренний рынок профицитен."
183,0,"возросшая активность инвесторов на долговом рынке коснулась не всех эмитентов. так, мтс-банк отложил размещение нового выпуска облигаций. в самом банке объяснили решение «рыночный конъюнктурой», участники рынка говорят о низкой ставке и ограниченных лимитах на эмитента. аналитики поясняют, что интерес инвесторов смещен в сторону реального сектора, компании которого при размещении облигаций дают премию по доходности."
184,1,"по словам генерального директора соцсети, маск останется крупнейшим акционером компании в качестве ее «доверенного лица»"
185,0,илон маск подал встречный иск к twitter из-за сорвавшейся сделки по покупке социальной сети. при этом миллиардер попросил суд сохранить в тайне подробности встречного иска
186,0,"в москве неизвестные украли технику фирмы apple из офиса российского представительства китайской компании bytedance, которой принадлежит социальная сеть tiktok, на сумму более 1 млн руб."
187,0,"polymetal остановил продажи слитков, произведенных в россии, на внутреннем рынке из-за скидок, по которым банки предлагают покупать золото. золотые и серебряные слитки направляются на экспорт с тем, чтобы получить цену, приближенную к мировой. кроме того, западные санкции опосредованно исключили из логистики порт санкт-петербурга, через который в антверпен поставлялся концентрат. еще одним последствием санкций стали проблемы с поставками оборудования. по мнению экспертов, золотодобывающая отрасль существенно зависит от импортного оборудования, что в перспективе скажется на производстве золота."
188,0,"президент украины владимир зеленский высказал премьер-министру канады джастину трюдо недовольство о том, что его правительство решило вернуть турбину для российского газопровода «северный поток»."
189,0,"президент украины зеленский предупредил, что решение канады передать турбину для «северного потока», несмотря на санкции, влечет за собой много проблем. еще не поздно пересмотреть данное решение, подчеркнул он"
190,0,"австрия грозит отобрать у «газпрома» мощности крупнейшего в стране подземного газового хранилища (пхг) в хайдахе мощностью почти 3 млрд кубометров. сейчас «газпром» уже не имеет права пользоваться мощностями пхг, поскольку его оператор — одна из структур gazprom germania — попал под санкции рф. юристы полагают, что правительство россии может сделать временное исключение из санкций для этого хранилища. однако неясно, насколько «газпром» заинтересован использовать пхг в нынешних обстоятельствах."
191,0,"следствие настаивало, что александров организовал заключение договоров об оказании юридической помощи, хотя необходимости в этом не было. другие фигуранты дела — юристы — получили по 6-6,5 лет"
192,1,"официальные ритейлеры техники apple в россии re:store и iport начали закрывать убыточные магазины, чтобы перераспределить дефицитную технику в точки с более высоким трафиком. при этом re:store не просто сокращает сеть, а пытается договориться с собственниками помещений на арендные каникулы и скидки, чтобы перестроить логистику. по информации “ъ”, компания рассматривает возможность организации параллельного импорта техники. но в таком случае, убеждены эксперты, apple вряд ли в будущем возобновит сотрудничество с re:store, даже если решит возобновить остановленные поставки в рф."
193,0,"в первоначальной версии материала говорилось со ссылкой на сообщение журналиста the economist оливера кэрролла, что ibm объявила о прекращении работы в россии."
194,0,"пятый пакет санкций ес вводит полный запрет на передачу технологий подконтрольным государству российским операторам связи. помимо «ростелекома» это может распространиться на принадлежащего ему мобильного оператора tele2 и «транстелеком», который строит магистральные сети на базе инфраструктуры оао ржд. несмотря на усиливающуюся политику импортозамещения, компании не смогут полностью заместить часть европейских решений, уверены эксперты."
195,0,"представители стран-членов евросоюза проводят встречу по ситуации с газом и готовят скоординированный ответ. «газпром» остановил поставки газа польше и болгарии, так как те не заплатили за него в рублях"
196,1,"евросоюз смягчает запрет на сделки с рядом российских госкомпаний, включая «роснефть», «газпром нефть» и «совкомфлот». теперь им разрешается заключать сделки с европейцами по перевозке нефти в третьи страны"
197,1,"«газпром» впервые с кризиса 1998 года полностью отказался от выплаты дивидендов, причем сделал это в последний момент — решение принял основной акционер в лице государства вопреки рекомендации государством же сформированного совета директоров. власти решили изъять все предназначенные для выплаты дивидендов 1,2 трлн руб. в бюджет через внеплановое повышение ндпи. такой неожиданный шаг обрушил котировки компании и российского фондового рынка, а также, по мнению аналитиков, и долгосрочную инвестиционную привлекательность бумаг монополии."
198,1,"минфин и росимущество подали совместную заявку на приобретение акций «аэрофлота» на 52,5 млрд руб. в результате доля россии в уставном капитале компании увеличится до 73,77%"
199,0,дмитрий гришин 11 мая покинул пост председателя совета директоров и неисполнительного директора vk company.
200,0,"глава merlion предположил, что цены на технику в россии не смогут вернуться на докризисный уровень. на них влияет отсутствие конкуренции с зарубежными вендорами, логистические трудности и высокие ставки кредитования"
201,0,"глава merlion предположил, что цены на технику в россии не смогут вернуться на докризисный уровень. на них влияет отсутствие конкуренции с зарубежными вендорами, логистические трудности и высокие ставки кредитования"
202,0,"клиенты сервиса экспресс-доставки сдэк подали к компании коллективный иск на 2,2 млн руб. о взыскании компенсации за утечку персональных данных. информация о пользователях появилась в сети в конце февраля, в сдэк объясняли ее масштабной хакерской атакой. несмотря на ужесточение российского законодательства в данной сфере, реальная выплата пострадавшим вряд ли будет больше 10 тыс. руб., считают юристы."
203,1,"vk разработал для чиновников платформу с почтой, мессенджером и облачным хранилищем, она рекомендована для использования госсслужащим. в минцфиры намерены заменить telegram, zoom и google docs"
204,1,"правительство хочет перевести рабочую переписку чиновников, в том числе глав регионов, в разработанный vk специальный сервис для госслужащих. минцифры намерено заменить им иностранные мессенджеры, включая telegram и whatsapp, а также программы для видеоконференций и электронной почты. но внедрение системы вряд ли радикально изменит привычки чиновников, которые на фоне блокировки instagram (деятельность meta по ведению сети объявлена в россии экстремистской и запрещена) начали продвигать свои каналы в telegram, полагают эксперты."
205,1,"группа пик, крупнейший застройщик жилья, стала совладельцем стартапа по разработке технологий утилизации отходов. среди них — переработка органики с помощью личинок мух и вторичное использование стройматериалов от сноса зданий"
206,1,"министр сельского хозяйства россии дмитрий патрушев выдвинут в совет директоров «газпрома», говорится в заявлении компании по итогам заседания наблюдательного совета."
207,0,"экспорт металлургической продукции из россии стал практически бессмысленным, заявил основной владелец «новолипецкого металлургического комбината» (нлмк) владимир лисин на общем годовом собрании регионального отделения союза промышленников и предпринимателей липецкой области."
208,1,"видимых условий для повышения цен на авиабилеты летом нет, заявил генеральный директор «аэрофлота» сергей александровский, сообщает тасс со ссылкой на сообщение авиакомпании."
209,1,мировое сообщество в скором времени достигнет значительных успехов в лечении рака.
210,0,"майкл вирт напомнил об опыте венесуэлы и ирана, которым из-за санкций пришлось значительно сократить добычу. он отметил, что пока россии удается находить направления импорта взамен тех, к которым она лишилась доступа"
